entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-01-01 09:40:00,2025-01-01 10:40:00,23600,PE,2025-01-02 00:00:00,111.75,83.8125,-1,-27.9375,-25.0
2025-01-06 09:40:00,2025-01-06 10:15:00,24000,PE,2025-01-09 00:00:00,198.45,148.83749999999998,-1,-49.61250000000001,-25.000000000000007
2025-01-06 10:40:00,2025-01-06 12:05:00,23900,PE,2025-01-09 00:00:00,179.55,329.40000000000003,-1,149.85000000000002,83.45864661654136
2025-01-06 12:20:00,2025-01-06 14:10:00,23650,PE,2025-01-09 00:00:00,170.8,205.335,-1,34.535,20.219555035128803
2025-01-06 14:20:00,2025-01-06 14:55:00,23650,PE,2025-01-09 00:00:00,208.9,200.35,-1,-8.550000000000011,-4.092867400670182
2025-01-08 10:30:00,2025-01-08 10:50:00,23600,PE,2025-01-09 00:00:00,91.0,107.82,-1,16.819999999999993,18.48351648351648
2025-01-08 11:10:00,2025-01-08 13:35:00,23550,PE,2025-01-09 00:00:00,82.85,62.137499999999996,-1,-20.7125,-25.0
2025-01-09 10:15:00,2025-01-09 10:40:00,23650,CE,2025-01-09 00:00:00,29.3,21.975,-1,-7.324999999999999,-24.999999999999996
2025-01-10 14:15:00,2025-01-10 14:55:00,23400,PE,2025-01-16 00:00:00,148.0,153.15,-1,5.150000000000006,3.479729729729734
2025-01-13 10:10:00,2025-01-13 12:10:00,23250,CE,2025-01-16 00:00:00,178.65,133.9875,-1,-44.662499999999994,-24.999999999999996
2025-01-14 10:55:00,2025-01-14 12:20:00,23250,CE,2025-01-16 00:00:00,99.3,74.475,-1,-24.825000000000003,-25.000000000000007
2025-01-15 10:25:00,2025-01-15 12:25:00,23250,CE,2025-01-16 00:00:00,64.6,48.449999999999996,-1,-16.15,-25.0
2025-01-17 10:55:00,2025-01-17 12:20:00,23100,PE,2025-01-23 00:00:00,173.15,129.8625,-1,-43.287499999999994,-24.999999999999996
2025-01-17 12:25:00,2025-01-17 14:55:00,23200,PE,2025-01-23 00:00:00,179.2,134.65,-1,-44.54999999999998,-24.860491071428566
2025-01-20 09:35:00,2025-01-20 10:15:00,23150,PE,2025-01-23 00:00:00,155.15,116.36250000000001,-1,-38.787499999999994,-24.999999999999993
2025-01-21 09:35:00,2025-01-21 10:40:00,23350,PE,2025-01-23 00:00:00,144.75,256.68,-1,111.93,77.32642487046633
2025-01-21 10:50:00,2025-01-21 11:50:00,23200,PE,2025-01-23 00:00:00,167.5,125.625,-1,-41.875,-25.0
2025-01-21 12:30:00,2025-01-21 13:00:00,23100,PE,2025-01-23 00:00:00,134.0,100.5,-1,-33.5,-25.0
2025-01-21 14:20:00,2025-01-21 14:55:00,23150,PE,2025-01-23 00:00:00,127.55,182.7,-1,55.14999999999999,43.23794590356722
2025-01-24 10:25:00,2025-01-24 11:15:00,23150,PE,2025-01-30 00:00:00,160.15,120.11250000000001,-1,-40.037499999999994,-24.999999999999993
2025-01-24 13:20:00,2025-01-24 14:55:00,23150,PE,2025-01-30 00:00:00,154.0,190.7,-1,36.69999999999999,23.83116883116882
2025-01-27 10:25:00,2025-01-27 12:05:00,22900,PE,2025-01-30 00:00:00,202.0,151.5,-1,-50.5,-25.0
2025-01-27 12:50:00,2025-01-27 14:55:00,22850,PE,2025-01-30 00:00:00,161.5,160.1,-1,-1.4000000000000057,-0.8668730650154834
2025-01-28 09:35:00,2025-01-28 11:40:00,22850,PE,2025-01-30 00:00:00,142.45,106.83749999999999,-1,-35.6125,-25.0
2025-01-29 09:40:00,2025-01-29 11:15:00,23050,CE,2025-01-30 00:00:00,155.15,186.03,-1,30.879999999999995,19.903319368353202
2025-01-29 11:35:00,2025-01-29 12:50:00,23100,CE,2025-01-30 00:00:00,135.9,163.125,-1,27.224999999999994,20.033112582781452
2025-01-29 13:05:00,2025-01-29 14:55:00,23150,CE,2025-01-30 00:00:00,136.1,136.95,-1,0.8499999999999943,0.6245407788390848
2025-01-30 11:55:00,2025-01-30 12:50:00,23300,CE,2025-01-30 00:00:00,67.25,50.4375,-1,-16.8125,-25.0
2025-01-31 11:20:00,2025-01-31 14:55:00,23450,CE,2025-02-06 00:00:00,295.4,322.65,-1,27.25,9.224779959377116
2025-02-01 12:35:00,2025-02-01 13:45:00,23400,PE,2025-02-06 00:00:00,164.75,123.5625,-1,-41.1875,-25.0
2025-02-04 09:45:00,2025-02-04 10:55:00,23600,CE,2025-02-06 00:00:00,117.25,87.9375,-1,-29.3125,-25.0
2025-02-04 11:10:00,2025-02-04 12:05:00,23500,CE,2025-02-06 00:00:00,142.85,165.6,-1,22.75,15.925796289814492
2025-02-04 12:10:00,2025-02-04 14:05:00,23550,CE,2025-02-06 00:00:00,140.3,185.175,-1,44.875,31.985032074126867
2025-02-05 09:55:00,2025-02-05 14:55:00,23750,PE,2025-02-06 00:00:00,91.05,94.1,-1,3.049999999999997,3.3498077979132317
2025-02-07 12:15:00,2025-02-07 14:50:00,23550,PE,2025-02-13 00:00:00,139.55,178.605,-1,39.05499999999998,27.986384808312415
2025-02-10 09:45:00,2025-02-10 10:40:00,23400,PE,2025-02-13 00:00:00,122.75,140.985,-1,18.235000000000014,14.855397148676182
2025-02-10 11:15:00,2025-02-10 14:55:00,23400,PE,2025-02-13 00:00:00,143.4,122.9,-1,-20.5,-14.295676429567642
2025-02-12 10:10:00,2025-02-12 10:35:00,22800,PE,2025-02-13 00:00:00,73.55,55.162499999999994,-1,-18.387500000000003,-25.000000000000007
2025-02-14 11:35:00,2025-02-14 14:45:00,22850,PE,2025-02-20 00:00:00,161.0,120.75,-1,-40.25,-25.0
2025-02-17 10:00:00,2025-02-17 10:30:00,22750,PE,2025-02-20 00:00:00,141.9,106.42500000000001,-1,-35.474999999999994,-24.999999999999993
2025-02-17 11:15:00,2025-02-17 13:35:00,22800,PE,2025-02-20 00:00:00,144.4,108.30000000000001,-1,-36.099999999999994,-24.999999999999993
2025-02-18 09:50:00,2025-02-18 10:25:00,22950,CE,2025-02-20 00:00:00,136.75,102.5625,-1,-34.1875,-25.0
2025-02-18 12:35:00,2025-02-18 14:55:00,22900,CE,2025-02-20 00:00:00,136.2,149.7,-1,13.5,9.911894273127754
2025-02-19 11:05:00,2025-02-19 11:35:00,22950,PE,2025-02-20 00:00:00,96.0,72.0,-1,-24.0,-25.0
2025-02-19 13:30:00,2025-02-19 14:40:00,22900,PE,2025-02-20 00:00:00,66.15,91.98,-1,25.83,39.047619047619044
2025-02-21 09:50:00,2025-02-21 10:35:00,22800,PE,2025-02-27 00:00:00,135.4,150.3,-1,14.900000000000006,11.004431314623343
